,Name,Price,Rate,property,carpet-area,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony
5360,"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹2.38 Cr ,₹8957 per sqft ,,2025 sqft,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,3
5361,"4 BHK Flat for Sale in Hauz Khas, New Delhi",₹5.49 Cr ,₹31371 per sqft ,,2000 sqft,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5 Open,4,> 10
5362,"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",₹1.35 Cr ,₹7297 per sqft ,,1410 sqft,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3 Covered,3,2
5363,"> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",₹2.50 Cr ,₹42735 per sqft ,,,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,2 Covered,10,2
5364,"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",₹4.19 Cr ,₹11971 per sqft ,,,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,2 Covered,5,2
5365,"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.60 Cr ,₹11818 per sqft ,,,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,2 Covered,4,2
5366,"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",₹1.90 Cr ,₹11176 per sqft ,,,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,"1 Covered,",3,3
5367,"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",₹2.60 Cr ,₹10833 per sqft ,,,Ready to Move,4 out of 14,New Property,,"Garden/Park, Pool, Main Road",Freehold,,4,4
5368,"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.05 Cr ,₹9762 per sqft ,,,Ready to Move,,New Property,,,,,3,
5369,"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹1.72 Cr ,₹8536 per sqft ,,,,,Resale,,,,,3,
5370,"4 BHK Flat for Sale in Vasant Vihar, New Delhi",₹8.50 Cr ,₹21250 per sqft ,Parnami Infra,3000 sqft,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",5,3
5371,"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",₹2.65 Cr ,₹9815 per sqft ,Dolphin Real Estates,1500 sqft,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,4,3
5372,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.95 Cr ,₹15245 per sqft ,The Unique Realty,144 sqyrd,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
5373,"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",₹1.21 Cr ,₹10083 per sqft ,Iconic Realty,1100 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",2,1
5374,"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",₹2.50 Cr ,₹31250 per sqft ,Synergy Real Estates,750 sqft,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,3,1
5375,"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",₹1.27 Cr ,₹8063 per sqft ,Essbee Realtors,991 sqft,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,3,4
5376,"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",₹1.35 Cr ,₹8671 per sqft ,Investors Home,1100 sqft,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",3,3
5377,"4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",₹3.50 Cr ,₹12963 per sqft ,Temple Homes Pvt. Ltd.,2200 sqft,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4 Covered,4,4
5378,"5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",₹8.75 Cr ,₹10276 per sqft ,Shanti Property,3200 sqft,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,"3 Covered,",6,6
5379,"4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",₹5.49 Cr ,₹15250 per sqft ,Makaan Search Realty,2700 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2 Covered,5,2
5380,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹1.99 Cr ,₹6633 per sqft ,Worth It Realtors,5600 sqft,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,3 Covered,4,2
5381,"4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",₹7.15 Cr ,₹16486 per sqft ,Miglani Realtors ,1900 sqft,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,"2 Covered,",3,3
5382,"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",₹3.10 Cr ,₹6889 per sqft ,GRAHA PRAVESH,2800 sqft,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,4,5
5383,"5 BHK Villa for Sale in Emaar MGF Marbella, Sector 66 Gurgaon",₹12 Cr ,₹18405 per sqft ,Dash Services,1400 sqft,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",6,2
5384,"4 BHK Flat for Sale in Luxury Floors, DLF City Phase 2, Gurgaon",₹5.75 Cr ,₹12727 per sqft ,House 2 Home Realty ,1800 sqft,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,"2 Covered,",4,2
5385,"4 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹4.10 Cr ,₹14416 per sqft ,Amethyst Landbase LLP,1700 sqft,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",4,4
5386,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",₹1.95 Cr ,₹6500 per sqft ,Proporigin Estate,1205 sqft,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,2 Covered,4,5
5387,"4 BHK Flat for Sale in Defence Colony, New Delhi",₹8.25 Cr ,₹33093 per sqft ,Investin PRO Realtech Pvt. Ltd.,3300 sqft,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,5,2
5388,"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",₹2.15 Cr ,₹6808 per sqft ,Garg Associates,2025 sqft,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,5,2
5389,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.25 Cr ,₹14062 per sqft ,Property Milegi,1550 sqft,Ready to Move,1 out of 5,New Property,North - East,Garden/Park,Freehold,"2 Covered,",3,2
5390,"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹2.38 Cr ,₹8957 per sqft ,,2025 sqft,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,3
5391,"4 BHK Flat for Sale in Hauz Khas, New Delhi",₹5.49 Cr ,₹31371 per sqft ,,2000 sqft,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5 Open,4,> 10
5392,"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",₹1.35 Cr ,₹7297 per sqft ,,1410 sqft,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3 Covered,3,2
5393,"> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",₹2.50 Cr ,₹42735 per sqft ,,,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,2 Covered,10,2
5394,"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",₹4.19 Cr ,₹11971 per sqft ,,,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,2 Covered,5,2
5395,"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.60 Cr ,₹11818 per sqft ,,,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,2 Covered,4,2
5396,"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",₹1.90 Cr ,₹11176 per sqft ,,,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,"1 Covered,",3,3
5397,"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",₹2.60 Cr ,₹10833 per sqft ,,,Ready to Move,4 out of 14,New Property,,"Garden/Park, Pool, Main Road",Freehold,,4,4
5398,"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.05 Cr ,₹9762 per sqft ,,,Ready to Move,,New Property,,,,,3,
5399,"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹1.72 Cr ,₹8536 per sqft ,,,,,Resale,,,,,3,
5400,"4 BHK Flat for Sale in Vasant Vihar, New Delhi",₹8.50 Cr ,₹21250 per sqft ,Parnami Infra,3000 sqft,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",5,3
5401,"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",₹2.65 Cr ,₹9815 per sqft ,Dolphin Real Estates,1500 sqft,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,4,3
5402,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.95 Cr ,₹15245 per sqft ,The Unique Realty,144 sqyrd,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
5403,"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",₹1.21 Cr ,₹10083 per sqft ,Iconic Realty,1100 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",2,1
5404,"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",₹2.50 Cr ,₹31250 per sqft ,Synergy Real Estates,750 sqft,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,3,1
5405,"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",₹1.27 Cr ,₹8063 per sqft ,Essbee Realtors,991 sqft,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,3,4
5406,"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",₹1.35 Cr ,₹8671 per sqft ,Investors Home,1100 sqft,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",3,3
5407,"4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",₹3.50 Cr ,₹12963 per sqft ,Temple Homes Pvt. Ltd.,2200 sqft,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4 Covered,4,4
5408,"5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",₹8.75 Cr ,₹10276 per sqft ,Shanti Property,3200 sqft,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,"3 Covered,",6,6
5409,"4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",₹5.49 Cr ,₹15250 per sqft ,Makaan Search Realty,2700 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2 Covered,5,2
5410,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹1.99 Cr ,₹6633 per sqft ,Worth It Realtors,5600 sqft,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,3 Covered,4,2
5411,"4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",₹7.15 Cr ,₹16486 per sqft ,Miglani Realtors ,1900 sqft,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,"2 Covered,",3,3
5412,"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",₹3.10 Cr ,₹6889 per sqft ,GRAHA PRAVESH,2800 sqft,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,4,5
5413,"5 BHK Villa for Sale in Emaar MGF Marbella, Sector 66 Gurgaon",₹12 Cr ,₹18405 per sqft ,Dash Services,1400 sqft,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",6,2
5414,"4 BHK Flat for Sale in Luxury Floors, DLF City Phase 2, Gurgaon",₹5.75 Cr ,₹12727 per sqft ,House 2 Home Realty ,1800 sqft,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,"2 Covered,",4,2
5415,"4 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹4.10 Cr ,₹14416 per sqft ,Amethyst Landbase LLP,1700 sqft,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",4,4
5416,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",₹1.95 Cr ,₹6500 per sqft ,Proporigin Estate,1205 sqft,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,2 Covered,4,5
5417,"4 BHK Flat for Sale in Defence Colony, New Delhi",₹8.25 Cr ,₹33093 per sqft ,Investin PRO Realtech Pvt. Ltd.,3300 sqft,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,5,2
5418,"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",₹2.15 Cr ,₹6808 per sqft ,Garg Associates,2025 sqft,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,5,2
5419,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.25 Cr ,₹14062 per sqft ,Property Milegi,1550 sqft,Ready to Move,1 out of 5,New Property,North - East,Garden/Park,Freehold,"2 Covered,",3,2
5420,"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹2.38 Cr ,₹8957 per sqft ,,2025 sqft,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,3
5421,"4 BHK Flat for Sale in Hauz Khas, New Delhi",₹5.49 Cr ,₹31371 per sqft ,,2000 sqft,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5 Open,4,> 10
5422,"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",₹1.35 Cr ,₹7297 per sqft ,,1410 sqft,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3 Covered,3,2
5423,"> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",₹2.50 Cr ,₹42735 per sqft ,,,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,2 Covered,10,2
5424,"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",₹4.19 Cr ,₹11971 per sqft ,,,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,2 Covered,5,2
5425,"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.60 Cr ,₹11818 per sqft ,,,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,2 Covered,4,2
5426,"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",₹1.90 Cr ,₹11176 per sqft ,,,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,"1 Covered,",3,3
5427,"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",₹2.60 Cr ,₹10833 per sqft ,,,Ready to Move,4 out of 14,New Property,,"Garden/Park, Pool, Main Road",Freehold,,4,4
5428,"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.05 Cr ,₹9762 per sqft ,,,Ready to Move,,New Property,,,,,3,
5429,"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹1.72 Cr ,₹8536 per sqft ,,,,,Resale,,,,,3,
5430,"4 BHK Flat for Sale in Vasant Vihar, New Delhi",₹8.50 Cr ,₹21250 per sqft ,Parnami Infra,3000 sqft,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",5,3
5431,"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",₹2.65 Cr ,₹9815 per sqft ,Dolphin Real Estates,1500 sqft,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,4,3
5432,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.95 Cr ,₹15245 per sqft ,The Unique Realty,144 sqyrd,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
5433,"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",₹1.21 Cr ,₹10083 per sqft ,Iconic Realty,1100 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",2,1
5434,"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",₹2.50 Cr ,₹31250 per sqft ,Synergy Real Estates,750 sqft,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,3,1
5435,"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",₹1.27 Cr ,₹8063 per sqft ,Essbee Realtors,991 sqft,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,3,4
5436,"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",₹1.35 Cr ,₹8671 per sqft ,Investors Home,1100 sqft,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",3,3
5437,"4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",₹3.50 Cr ,₹12963 per sqft ,Temple Homes Pvt. Ltd.,2200 sqft,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4 Covered,4,4
5438,"5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",₹8.75 Cr ,₹10276 per sqft ,Shanti Property,3200 sqft,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,"3 Covered,",6,6
5439,"4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",₹5.49 Cr ,₹15250 per sqft ,Makaan Search Realty,2700 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2 Covered,5,2
5440,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹1.99 Cr ,₹6633 per sqft ,Worth It Realtors,5600 sqft,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,3 Covered,4,2
5441,"4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",₹7.15 Cr ,₹16486 per sqft ,Miglani Realtors ,1900 sqft,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,"2 Covered,",3,3
5442,"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",₹3.10 Cr ,₹6889 per sqft ,GRAHA PRAVESH,2800 sqft,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,4,5
5443,"5 BHK Villa for Sale in Emaar MGF Marbella, Sector 66 Gurgaon",₹12 Cr ,₹18405 per sqft ,Dash Services,1400 sqft,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",6,2
5444,"4 BHK Flat for Sale in Luxury Floors, DLF City Phase 2, Gurgaon",₹5.75 Cr ,₹12727 per sqft ,House 2 Home Realty ,1800 sqft,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,"2 Covered,",4,2
5445,"4 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹4.10 Cr ,₹14416 per sqft ,Amethyst Landbase LLP,1700 sqft,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",4,4
5446,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",₹1.95 Cr ,₹6500 per sqft ,Proporigin Estate,1205 sqft,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,2 Covered,4,5
5447,"4 BHK Flat for Sale in Defence Colony, New Delhi",₹8.25 Cr ,₹33093 per sqft ,Investin PRO Realtech Pvt. Ltd.,3300 sqft,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,5,2
5448,"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",₹2.15 Cr ,₹6808 per sqft ,Garg Associates,2025 sqft,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,5,2
5449,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.25 Cr ,₹14062 per sqft ,Property Milegi,1550 sqft,Ready to Move,1 out of 5,New Property,North - East,Garden/Park,Freehold,"2 Covered,",3,2
5450,"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹2.38 Cr ,₹8957 per sqft ,,2025 sqft,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,3
5451,"4 BHK Flat for Sale in Hauz Khas, New Delhi",₹5.49 Cr ,₹31371 per sqft ,,2000 sqft,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5 Open,4,> 10
5452,"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",₹1.35 Cr ,₹7297 per sqft ,,1410 sqft,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3 Covered,3,2
5453,"> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",₹2.50 Cr ,₹42735 per sqft ,,,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,2 Covered,10,2
5454,"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",₹4.19 Cr ,₹11971 per sqft ,,,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,2 Covered,5,2
5455,"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.60 Cr ,₹11818 per sqft ,,,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,2 Covered,4,2
5456,"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",₹1.90 Cr ,₹11176 per sqft ,,,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,"1 Covered,",3,3
5457,"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",₹2.60 Cr ,₹10833 per sqft ,,,Ready to Move,4 out of 14,New Property,,"Garden/Park, Pool, Main Road",Freehold,,4,4
5458,"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.05 Cr ,₹9762 per sqft ,,,Ready to Move,,New Property,,,,,3,
5459,"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹1.72 Cr ,₹8536 per sqft ,,,,,Resale,,,,,3,
5460,"4 BHK Flat for Sale in Vasant Vihar, New Delhi",₹8.50 Cr ,₹21250 per sqft ,Parnami Infra,3000 sqft,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",5,3
5461,"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",₹2.65 Cr ,₹9815 per sqft ,Dolphin Real Estates,1500 sqft,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,4,3
5462,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.95 Cr ,₹15245 per sqft ,The Unique Realty,144 sqyrd,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
5463,"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",₹1.21 Cr ,₹10083 per sqft ,Iconic Realty,1100 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",2,1
5464,"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",₹2.50 Cr ,₹31250 per sqft ,Synergy Real Estates,750 sqft,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,3,1
5465,"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",₹1.27 Cr ,₹8063 per sqft ,Essbee Realtors,991 sqft,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,3,4
5466,"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",₹1.35 Cr ,₹8671 per sqft ,Investors Home,1100 sqft,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",3,3
